Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bahrain,BHR,,,,,,,,,,,0.307269832846909,0.346781914893617,0.364574468085106,0.373510638297872,0.390558510638298,0.365186170212766,0.305239361702128,0.33920210106383,0.37023936170212796,0.38635638297872293,0.422978723404255,0.4616223404255321,0.47510638297872293,0.520026595744681,0.556755345744681,0.584946781914894,0.610186143617021,0.634920239361702,0.618377659574468,0.6621010372340429,0.906289893617021,0.8976196808510641,0.9593510638297871,1.10748138297872,1.3150159574468099,1.59687234042553,1.8504760638297901,2.173,2.5710877659574503,2.29382180851064,2.5713271276595697,2.8776622340425497,3.0749335106383,3.25395478723404,3.33876861702128,3.11258776595745,3.22501329787234,3.5432686170212797,3.77461968085106,
Bangladesh,BGD,0.899272180939332,0.875184283979658,0.628824586666667,0.80867257293407,1.25124605197088,1.94483480734565,1.0117113333333299,0.96511493018746,1.32817671428571,1.55654803219448,1.81380490956072,2.0249694002448,1.8525399201596802,1.76090488215488,1.892084,2.2278423076923097,2.1774033333333302,2.4298032258064497,2.65790057603486,2.8781714763801203,3.1598341233558997,3.09574839495798,3.1708874594164502,3.31665194179894,3.3768660882793,3.79397487686567,4.64384841075795,4.82443091334895,4.99845594713656,5.1270569883527495,5.33697873186245,5.3991289844329104,5.47240814905102,6.01589291882556,6.510854425004251,6.944294308943089,7.18190836837403,7.961188821314799,9.16312782393237,10.247779147239,11.5279077465226,12.8637938711386,13.335574948247801,14.999045102229001,17.2885454931453,19.507867869723,22.1415188000475,24.972386248736104,27.4024958965892,
Barbados,BRB,,,,,0.0311809337474355,0.0402178605019554,0.043591126858967995,0.0495097667929041,0.0552883707055138,0.0670362452145379,0.0860388803261572,0.0946949734002884,0.098940983443544,0.10505145925520801,0.11449311390642901,0.119832943867151,0.131561676527619,0.144871476159698,0.154089394918709,0.170397255506389,0.20233182518769,0.200710982946353,0.19509,0.20461890319693699,0.21512951822204499,0.226196987023318,0.24118729180132298,0.254929647491672,0.28744593049271605,0.30120817381792897,0.31215,0.311665,0.31696,0.327485,0.351435,0.38973,0.42174508,0.467400745,0.47849251,0.44656573,0.45299283,0.465769945,0.4610096,0.46772483,0.469634435,0.47255,0.48405,0.49895,0.5145,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,2.165,1.8,1.7037037037037,1.62809917355372,1.49320241691843,1.3972676840918001,1.4756846153846201,1.41284085657064,1.52220126604232,1.21384865320203,1.27368568279847,1.23548201438849,1.45942490228922,1.78277913213067,2.31443518518519,3.0207567316620203,3.69543123543124,4.52773998136067,6.07634831460674,5.0874078052273495,5.86650889560255,6.17577889447236,6.56851025548759,7.552798423423421,7.88138399843506,5.64547343965842,4.77226578206675,5.47265952491849,5.96624950922654,
Belgium,BEL,2.67061961274708,2.9821661540991697,3.7209417835212197,4.77438014903747,5.60330781897266,6.567818865855,7.11138831765935,8.28399053460889,10.124652555399,11.6315456796918,12.6829314112291,10.4730018252934,9.209592662899519,8.71842386587771,8.33495298799218,8.62682644880766,12.001878715911099,14.939440367369,16.2299103565551,16.422105692055702,20.5331747706422,21.051099929119896,23.4781652070263,22.4721795592351,24.4884129973475,28.802558839627803,27.920143322475603,25.270805142083898,25.8528339631029,25.815853398678897,23.62045328911,23.654129753915,25.7157820440429,31.738171557562104,36.8537000248324,38.557094888695396,40.79180780328689,47.0324254037777,51.522352424198,48.134592942484005,48.095162949303294,52.2645519183591,49.61812602583,52.1642714407843,53.4678075827361,46.2149679343822,47.6056833074336,50.30045043954289,54.2761092103469,
Belize,BLZ,0.005323353293413171,0.005920731707317071,0.00660625,0.00783435582822086,0.0103216374269006,0.011806629834254099,0.00969058295964126,0.011765,0.01363,0.01518,0.019793822242928298,0.0196089854656347,0.0182206326985709,0.0192103185955321,0.021438194901938,0.021264374266470598,0.0231638320535566,0.02810825585859,0.032009336027245,0.0369133890704745,0.0412086445492177,0.044472075,0.05182391,0.055985825,0.05808637,0.06201404,0.06413838,0.065431435,0.068899245,0.073273235,0.083207245,0.08718606,0.093255185,0.099037405,0.10578455,0.11142027,0.121744215,0.129054255,0.136862515,0.13352175,0.137717913731754,0.146080021199593,0.15228997899207403,0.157941351526963,0.166280259910192,0.172378535656776,0.177510017868896,0.18365934661815697,0.18712031640827398,
Benin,BEN,0.0333627758154666,0.0335072975215766,0.0410331900950531,0.0504376035716401,0.05546547869651071,0.0676870140341529,0.0698408244385343,0.0750049739152238,0.0928843304783965,0.118623126518417,0.140525154723882,0.12911199651126198,0.126777848903079,0.10953483029186499,0.105113392700009,0.104571270302696,0.133610204071025,0.15624120303483802,0.16202461871517101,0.150229441146202,0.195996524376269,0.19864378599034602,0.169531530570308,0.227455791407481,0.15980759323543198,0.21696272509337897,0.23611165878607898,0.226830153765128,0.24550925823092698,0.268978791750711,0.256918664286999,0.268021393146472,0.30545710816912,0.390536618787017,0.452142480722519,0.480370282108056,0.5142380779441029,0.596953513158016,0.713278739666547,0.709719871161023,0.697704076219148,0.782432032689328,0.815208822219998,0.915995882563987,0.972036261539829,0.8294490789001641,0.8578984066299741,0.926959483477931,1.03542746349108,
Bermuda,BMU,0.01863,0.02111,0.02354,0.02695,0.03126,0.0345,0.03863,0.0447,0.04758,0.05172,0.0613299968,0.0739100032,0.0785500032,0.08894,0.0985699968,0.1039500032,0.1173500032,0.1296499968,0.1415100032,0.1501500032,0.15924,0.1634899968,0.1679900032,0.1820359936,0.1867160064,0.2030749952,0.269539,0.2932827,0.3130748,0.3324433,0.3480219,0.3680483,0.3937228,0.4186525,0.4484703,0.4868136,0.5414299,0.5895048,0.6109928,0.5806378,0.5744414,0.5550771,0.5537537,0.557371,,,,,,
Bhutan,BTN,,,,,,,,,,,0.0135653295165394,0.014639163972286401,0.0148934334038055,0.016558594059405903,0.016926499119718302,0.0172217502021019,0.020137572561459198,0.0253182453703704,0.0283855833333333,0.027594988909427,0.0299787275842376,0.025004583992963902,0.0250794359567901,0.023523957035093503,0.0270801565189672,0.0303053462843047,0.0316420860852385,0.0365964500137703,0.0376955087251575,0.0419035810496981,0.0439158233199822,0.0476360697181606,0.0537050133717342,0.062202610777157594,0.0702682018976169,0.0818869145124717,0.08977315249299221,0.119609180502316,0.12583323372838198,0.126475819796593,0.15854725341054698,0.18202076258021702,0.18236921096165198,0.179833372583954,0.197693852972743,0.20598099198932499,0.221967578089539,0.252800791135353,0.253496516278084,
Bolivia,BOL,0.101700336700337,0.10956228956229,0.125761564497932,0.126296851574213,0.21002498750624699,0.24046976511744103,0.2731984007996,0.32274362818590696,0.375822088955522,0.442134360618135,0.45269168026101103,0.587275693311582,0.55874902648127,0.542244096187886,0.616950103797622,0.537727740671638,0.39583388832233796,0.43236236221622,0.45976155626659404,0.4715978868216129,0.486758262020708,0.534327431156789,0.564389334700679,0.5734676560924711,0.5981244886917,0.6715220507051639,0.7396966657470541,0.792567344841368,0.849754559808352,0.828507587227307,0.839791250909679,0.814153793761068,0.790548521617852,0.808236486839357,0.8773451738911291,0.95490778691065,1.1451869164711201,1.31201831567149,1.66743246342373,1.73399921652422,1.96496314506819,2.39630335880063,2.7084497539797403,3.06593387843705,3.29961881331404,3.30001982633864,3.3941126193921902,3.7508642257597704,4.02876477568741,
